feeder_id,feeder_name,density,frequency_khz,geometry,rms_abs_v_disc,rms_abs_v_two_level_branch,p95_abs_v_disc,p95_abs_v_two_level_branch,p99_abs_v_disc,p99_abs_v_two_level_branch,rel_diff_rms,rel_diff_p95,rel_diff_p99
A,urban_short,6.0,2.0,two_level_branch,0.016940350741493575,0.018952664652393956,0.03140648233549506,0.03503138118577385,0.04266070892518694,0.0469660243697834,0.11878820820229145,0.11541881104532323,0.10091992264232151
A,urban_short,6.0,3.0,two_level_branch,0.016901191599840142,0.01890636375114412,0.031633550991915324,0.03514536868977049,0.04164602772086404,0.046538555463626625,0.11864087448857422,0.11101560171833659,0.1174788571806935
A,urban_short,6.0,4.0,two_level_branch,0.016925532490029406,0.018946996974223675,0.03170404043948216,0.03522702737080809,0.04245553253043026,0.04745988941533099,0.1194328441592656,0.11112107108400684,0.1178729034034334
A,urban_short,6.0,5.0,two_level_branch,0.01688620836888296,0.018920204465146397,0.03133889207308301,0.03502429551528111,0.04152925830759428,0.04643373665949745,0.12045309709736746,0.11759839606338528,0.11809694060937054
A,urban_short,6.0,6.0,two_level_branch,0.01699949718782471,0.019070056191201525,0.0311963537358677,0.03510031454576246,0.04206800216148717,0.04738346307473356,0.12180119097050592,0.12514157401049777,0.12635401350513004
A,urban_short,6.0,7.0,two_level_branch,0.016837498189798877,0.01884432161992546,0.0316978676323018,0.03558910454919798,0.042414345252263175,0.046992844370927336,0.11918774437299898,0.12276021094020872,0.10794694793549497
A,urban_short,6.0,8.0,two_level_branch,0.016907535648031928,0.018976447335999982,0.03151751563807434,0.03549488092980515,0.04266153621861631,0.04762992894479124,0.12236624727796326,0.12619539361554258,0.11646070832317705
A,urban_short,6.0,9.0,two_level_branch,0.01689575704787042,0.018915769374137987,0.031540833535703236,0.035463435252967246,0.041736645745191675,0.0469920470587729,0.11955737292767084,0.12436582288872447,0.1259181522556033
A,urban_short,6.0,10.0,two_level_branch,0.01667114230156232,0.018698959481594852,0.03110874380220944,0.034805880001456374,0.04207539160559657,0.047208174063818865,0.12163636680388103,0.11884556389526578,0.1219901292027326
A,urban_short,6.0,11.0,two_level_branch,0.01695696772776622,0.01900628786649216,0.031880268243038065,0.03553083284225204,0.04174359642717584,0.04665193094271759,0.12085416282123823,0.1145085910627861,0.11758293332738194
