feeder_id,feeder_name,density,frequency_khz,geometry,rms_abs_v_disc,rms_abs_v_star_branch,p95_abs_v_disc,p95_abs_v_star_branch,p99_abs_v_disc,p99_abs_v_star_branch,rel_diff_rms,rel_diff_p95,rel_diff_p99
A,urban_short,6.0,2.0,star_branch,0.016940350741493575,0.018050246129692703,0.03140648233549506,0.03357394015595166,0.04266070892518694,0.04548705366649671,0.06551785173376362,0.06901307180164437,0.06625170590264369
A,urban_short,6.0,3.0,star_branch,0.016901191599840142,0.018013044726208165,0.031633550991915324,0.03365693076908842,0.04164602772086404,0.04455643175570209,0.06578548736046158,0.06396309341591831,0.06988431296125718
A,urban_short,6.0,4.0,star_branch,0.016925532490029406,0.01804828632344538,0.03170404043948216,0.03379288123893877,0.04245553253043026,0.04528602455929244,0.0663349193933704,0.06588563383408064,0.06666956837329524
A,urban_short,6.0,5.0,star_branch,0.01688620836888296,0.017998416536112588,0.03133889207308301,0.033355344545988375,0.04152925830759428,0.044237297813407496,0.06586488469958417,0.06434345120443152,0.06520799109282444
A,urban_short,6.0,6.0,star_branch,0.01699949718782471,0.018114342585822694,0.0311963537358677,0.03332626002615307,0.04206800216148717,0.0448281635283355,0.06558108076258007,0.0682742062844521,0.06561189562206561
A,urban_short,6.0,7.0,star_branch,0.016837498189798877,0.01795856601657097,0.0316978676323018,0.03382013210824028,0.042414345252263175,0.04522529348099635,0.06658161528125947,0.0669529099104377,0.06627352637450376
A,urban_short,6.0,8.0,star_branch,0.016907535648031928,0.018034610326746688,0.03151751563807434,0.03373467369303338,0.04266153621861631,0.0457120530021611,0.06666108545782981,0.07034685348995691,0.07150508523445123
A,urban_short,6.0,9.0,star_branch,0.01689575704787042,0.018017505644834658,0.031540833535703236,0.033518400288467455,0.041736645745191675,0.04487283560550189,0.06639232523206914,0.06269862052078222,0.07514235522080798
A,urban_short,6.0,10.0,star_branch,0.01667114230156232,0.017783886898719764,0.03110874380220944,0.03306888870274237,0.04207539160559657,0.044790393792046315,0.06674675178395928,0.06300945203688085,0.06452708062469026
A,urban_short,6.0,11.0,star_branch,0.01695696772776622,0.018096993706468466,0.031880268243038065,0.03391146684216677,0.04174359642717584,0.0448335722694384,0.06723053301773461,0.06371334719155856,0.07402275095422611
A,urban_short,6.0,12.0,star_branch,0.017076123312047352,0.018225385788243207,0.03171739191049475,0.033782485009541084,0.042511041189562435,0.04525901033137038,0.06730230598563555,0.06510917117252107,0.0646413041156621
A,urban_short,6.0,13.0,star_branch,0.017141369533315232,0.01830114935738002,0.03187817459269471,0.03407311144591153,0.04254746682579964,0.045589471876785824,0.06765969439085306,0.06885390651319863,0.07149673712517218
A,urban_short,6.0,14.0,star_branch,0.01700300834498477,0.01815926912885401,0.03154229167336571,0.03356678277174312,0.04320996034157364,0.0459518766956149,0.06800330626258216,0.06418338652568119,0.06345565541755833
